Name,Platform,Year,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count
Wii Sports,Wii,2006,Sports,Nintendo,76,51,8,322
Super Mario Bros.,NES,1985,Platform,Nintendo,,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,82,73,8.3,709
Wii Sports Resort,Wii,2009,Sports,Nintendo,80,73,8,192
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,,,,
Tetris,GB,1989,Puzzle,Nintendo,,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,89,65,8.5,431
Wii Play,Wii,2006,Misc,Nintendo,58,41,6.6,129
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87,80,8.4,594
Duck Hunt,NES,1984,Shooter,Nintendo,,,,
Nintendogs,DS,2005,Simulation,Nintendo,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,91,64,8.6,464
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,,,,
Wii Fit,Wii,2007,Sports,Nintendo,80,63,7.7,146
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61,45,6.3,106
Wii Fit Plus,Wii,2009,Sports,Nintendo,80,33,7.4,52
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97,50,8.2,3994
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95,80,9,1588
Super Mario World,SNES,1990,Platform,Nintendo,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77,58,7.9,50
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,,,,
Super Mario Land,GB,1989,Platform,Nintendo,,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97,58,8.1,3711
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95,62,8.7,730
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77,37,7.1,19
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95,54,8.4,314
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88,81,3.4,8713
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,,,,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,87,89,6.3,1454
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83,21,5.3,922
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83,73,4.8,2256
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94,100,6.3,2698
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88,39,3.2,5234
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97,56,8.5,664
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93,81,8.9,1662
Mario Kart 7,3DS,2011,Racing,Nintendo,85,73,8.2,632
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88,58,6.4,1094
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97,66,8.3,2899
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86,57,8.7,242
Halo 3,X360,2007,Shooter,Microsoft Game Studios,94,86,7.8,4100
Super Mario 64,N64,1996,Platform,Nintendo,,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89,74,8.5,272
Super Mario Galaxy,Wii,2007,Platform,Nintendo,97,73,8.9,2147
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98,86,7.9,2951
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96,16,8.7,138
Super Mario 3D Land,3DS,2011,Platform,Nintendo,90,82,8.4,921
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84,82,7.5,1112
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94,67,6.3,2073
Super Mario All-Stars,SNES,1993,Platform,Nintendo,,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98,64,7.5,2833
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,,,,
Super Mario 64,DS,2004,Platform,Nintendo,,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,73,29,2.6,2117
Just Dance 3,Wii,2011,Misc,Ubisoft,74,15,7.8,16
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78,70,7.2,424
Mario Kart 64,N64,1996,Racing,Nintendo,,,,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91,99,7.9,2045
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92,20,9.2,1282
Halo 4,X360,2012,Shooter,Microsoft Game Studios,87,87,7,3260
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93,23,9,135
Just Dance 2,Wii,2010,Misc,Ubisoft,74,24,7.3,24
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71,10,2.6,1047
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94,70,8.4,1320
Donkey Kong Country,SNES,1994,Platform,Nintendo,,,,
Minecraft,X360,2013,Misc,Microsoft Game Studios,,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88,70,8.7,626
